date,open,high,low,close,volume
2015-12-31,6.55,6.63,6.47,6.48,279650.53
2015-12-30,6.55,6.64,6.45,6.62,321931.0
2015-12-29,6.56,6.61,6.4,6.55,517596.25
2015-12-28,6.73,6.77,6.55,6.57,383471.41
2015-12-25,6.68,6.71,6.63,6.69,171325.66
2015-12-24,6.75,6.77,6.62,6.66,284096.5
2015-12-23,6.85,6.86,6.75,6.77,327053.12
2015-12-22,6.87,6.89,6.81,6.85,322118.84
2015-12-21,6.82,6.88,6.77,6.87,438410.09
2015-12-18,6.82,6.95,6.82,6.83,226157.39
2015-12-17,6.75,6.85,6.75,6.82,250668.39
2015-12-16,6.75,6.82,6.72,6.74,113250.15
2015-12-15,6.81,6.84,6.75,6.77,140545.55
2015-12-14,6.67,6.84,6.61,6.82,245544.84
2015-12-11,6.72,6.72,6.66,6.67,160113.55
2015-12-10,6.66,6.79,6.65,6.71,258545.19
2015-12-09,6.68,6.74,6.62,6.66,147658.62
2015-12-08,6.85,6.85,6.66,6.68,219274.31
2015-12-07,6.87,6.89,6.81,6.85,144647.36
2015-12-04,6.97,6.98,6.82,6.85,239217.53
2015-12-03,6.98,6.98,6.9,6.96,289050.22
2015-12-02,6.75,7.07,6.71,7.01,449311.84
2015-12-01,6.78,6.84,6.72,6.78,252485.2
2015-11-30,6.8,6.88,6.55,6.73,344024.16
2015-11-27,7.18,7.24,6.71,6.78,548118.5
2015-11-26,7.29,7.31,7.19,7.21,310474.12
2015-11-25,7.26,7.28,7.22,7.27,279104.5
2015-11-24,7.27,7.32,7.18,7.25,295632.97
2015-11-23,7.39,7.39,7.25,7.28,382780.41
2015-11-20,7.4,7.42,7.35,7.38,304308.31
2015-11-19,7.35,7.39,7.3,7.39,270744.69
2015-11-18,7.37,7.41,7.3,7.34,350732.88
2015-11-17,7.45,7.52,7.37,7.39,557763.0
2015-11-16,7.36,7.42,7.32,7.42,341921.91
2015-11-13,7.43,7.53,7.35,7.44,459612.66
2015-11-12,7.62,7.63,7.42,7.47,553524.31
2015-11-11,7.62,7.7,7.53,7.6,572080.25
2015-11-10,7.73,7.73,7.56,7.65,1048040.5
2015-11-09,7.37,7.86,7.35,7.83,1738586.12
2015-11-06,7.39,7.44,7.29,7.41,839968.31
2015-11-05,7.3,7.6,7.25,7.42,1214476.38
2015-11-04,7.15,7.32,7.11,7.31,598518.88
2015-11-03,7.13,7.21,7.05,7.14,270810.25
2015-11-02,7.11,7.2,7.06,7.09,256315.77
